timepoint_id,timestamp,timeseries
1,2030031500,2030_all
2,2030031506,2030_all
3,2030031512,2030_all
4,2030031518,2030_all
5,2030101500,2030_fall
6,2030101506,2030_fall
7,2030101512,2030_fall
8,2030101518,2030_fall
9,2030041500,2030_sprll
10,2030041506,2030_sprll
11,2030041512,2030_sprll
12,2030041518,2030_sprll
13,2030071500,2030_sumpk
14,2030071506,2030_sumpk
15,2030071512,2030_sumpk
16,2030071518,2030_sumpk
17,2030081500,2030_sumsh
18,2030081506,2030_sumsh
19,2030081512,2030_sumsh
20,2030081518,2030_sumsh
21,2030011500,2030_winpk
22,2030011506,2030_winpk
23,2030011512,2030_winpk
24,2030011518,2030_winpk
